"tool_id","tool_name","tool_url","category_id","category_title","description","keywords","search_text","popularity_weight","updated_at"
"universal-converter","File Converter & SQL Query Tool","/tools/universal-converter","conversion","Data Conversion","Convert between Parquet, CSV, Excel, Arrow, and Avro formats, or query files directly with SQL.","and arrow avro between conversion convert converter csv data directly excel file files formats or parquet query sql tool universal with","File Converter & SQL Query Tool Data Conversion Convert between Parquet, CSV, Excel, Arrow, and Avro formats, or query files directly with SQL. and arrow avro between conversion convert converter csv data directly excel file files formats or parquet query sql tool universal with","1","2026-05-07T13:56:33.406Z"
"pdf-merger","PDF Merger","/tools/pdf-merger","conversion","Data Conversion","Combine multiple PDF files into a single document.","combine conversion data document files into merger multiple pdf single","PDF Merger Data Conversion Combine multiple PDF files into a single document. combine conversion data document files into merger multiple pdf single","1","2026-05-07T13:56:33.406Z"
"pdf-splitter","PDF Splitter & Extractor","/tools/pdf-splitter","conversion","Data Conversion","Extract, reorder, and save specific pages from your PDF documents.","and conversion data documents extract extractor from pages pdf reorder save specific splitter your","PDF Splitter & Extractor Data Conversion Extract, reorder, and save specific pages from your PDF documents. and conversion data documents extract extractor from pages pdf reorder save specific splitter your","1","2026-05-07T13:56:33.406Z"
"doc-to-markdown","Doc to Markdown","/tools/doc-to-markdown","conversion","Data Conversion","Convert Word documents and PDFs into clean Markdown for LLMs.","and clean conversion convert data doc documents for into llms markdown pdfs to word","Doc to Markdown Data Conversion Convert Word documents and PDFs into clean Markdown for LLMs. and clean conversion convert data doc documents for into llms markdown pdfs to word","1","2026-05-07T13:56:33.406Z"
"yaml-json-converter","YAML / JSON Converter","/tools/yaml-json-converter","conversion","Data Conversion","Convert YAML to JSON or JSON to YAML with validation and instant output.","and conversion convert converter data instant json or output to validation with yaml","YAML / JSON Converter Data Conversion Convert YAML to JSON or JSON to YAML with validation and instant output. and conversion convert converter data instant json or output to validation with yaml","1","2026-05-07T13:56:33.406Z"
"toon-json-converter","TOON ⇄ JSON Converter","/tools/toon-json-converter","conversion","Data Conversion","Convert between JSON and Token-Oriented Object Notation (TOON) — a compact, human-readable format designed to reduce token usage in LLM prompts.","and between compact conversion convert converter data designed format human in json llm notation object oriented prompts readable reduce to token toon usage","TOON ⇄ JSON Converter Data Conversion Convert between JSON and Token-Oriented Object Notation (TOON) — a compact, human-readable format designed to reduce token usage in LLM prompts. and between compact conversion convert converter data designed format human in json llm notation object oriented prompts readable reduce to token toon usage","1","2026-05-07T13:56:33.406Z"
"dynamodb-json-converter","DynamoDB JSON Converter","/tools/dynamodb-json-converter","conversion","Data Conversion","Convert DynamoDB AttributeValue JSON into regular JSON using the AWS SDK toolkit.","attributevalue aws conversion convert converter data dynamodb into json regular sdk the toolkit using","DynamoDB JSON Converter Data Conversion Convert DynamoDB AttributeValue JSON into regular JSON using the AWS SDK toolkit. attributevalue aws conversion convert converter data dynamodb into json regular sdk the toolkit using","1","2026-05-07T13:56:33.406Z"
"pdf-to-image","PDF to Image Converter","/tools/pdf-to-image","conversion","Data Conversion","Convert all pages of a PDF into high-quality images (PNG, JPEG, or WebP).","all conversion convert converter data high image images into jpeg of or pages pdf png quality to webp","PDF to Image Converter Data Conversion Convert all pages of a PDF into high-quality images (PNG, JPEG, or WebP). all conversion convert converter data high image images into jpeg of or pages pdf png quality to webp","1","2026-05-07T13:56:33.406Z"
"image-to-pdf","Image to PDF Converter","/tools/image-to-pdf","conversion","Data Conversion","Combine multiple images (PNG, JPEG, WebP, GIF) into a single PDF document.","combine conversion converter data document gif image images into jpeg multiple pdf png single to webp","Image to PDF Converter Data Conversion Combine multiple images (PNG, JPEG, WebP, GIF) into a single PDF document. combine conversion converter data document gif image images into jpeg multiple pdf png single to webp","1","2026-05-07T13:56:33.406Z"
"json-formatter","JSON Pretty Print","/tools/json-formatter","inspection","Data Inspection","Format, validate, and beautify your raw JSON data instantly.","and beautify data format formatter inspection instantly json pretty print raw validate your","JSON Pretty Print Data Inspection Format, validate, and beautify your raw JSON data instantly. and beautify data format formatter inspection instantly json pretty print raw validate your","1","2026-05-07T13:56:33.406Z"
"sql-formatter","SQL Formatter","/tools/sql-formatter","inspection","Data Inspection","Beautify complex SQL queries for Snowflake, Postgres, and more.","and beautify complex data for formatter inspection more postgres queries snowflake sql","SQL Formatter Data Inspection Beautify complex SQL queries for Snowflake, Postgres, and more. and beautify complex data for formatter inspection more postgres queries snowflake sql","1","2026-05-07T13:56:33.406Z"
"parquet-inspector-plus","Parquet Inspector Plus","/tools/parquet-inspector-plus","inspection","Data Inspection","Inspect row groups, codecs, schema, footer metadata, and sample rows in Parquet files.","and codecs data files footer groups in inspect inspection inspector metadata parquet plus row rows sample schema","Parquet Inspector Plus Data Inspection Inspect row groups, codecs, schema, footer metadata, and sample rows in Parquet files. and codecs data files footer groups in inspect inspection inspector metadata parquet plus row rows sample schema","1","2026-05-07T13:56:33.406Z"
"arrow-inspector-plus","Arrow Inspector Plus","/tools/arrow-inspector-plus","inspection","Data Inspection","Inspect Arrow schema fields, field metadata, and sample rows in IPC files.","and arrow data field fields files in inspect inspection inspector ipc metadata plus rows sample schema","Arrow Inspector Plus Data Inspection Inspect Arrow schema fields, field metadata, and sample rows in IPC files. and arrow data field fields files in inspect inspection inspector ipc metadata plus rows sample schema","1","2026-05-07T13:56:33.406Z"
"json-schema-inferrer","JSON Schema Inferrer","/tools/json-schema-inferrer","inspection","Data Inspection","Paste any JSON and instantly generate a JSON Schema (Draft-07) inferred from its structure and types.","07 and any data draft from generate inferred inferrer inspection instantly its json paste schema structure types","JSON Schema Inferrer Data Inspection Paste any JSON and instantly generate a JSON Schema (Draft-07) inferred from its structure and types. 07 and any data draft from generate inferred inferrer inspection instantly its json paste schema structure types","1","2026-05-07T13:56:33.406Z"
"schema-diff","Schema Diff Tool","/tools/schema-diff","inspection","Data Inspection","Compare two JSON schemas or objects side-by-side and see exactly what was added, removed, or changed.","added and by changed compare data diff exactly inspection json objects or removed schema schemas see side tool two was what","Schema Diff Tool Data Inspection Compare two JSON schemas or objects side-by-side and see exactly what was added, removed, or changed. added and by changed compare data diff exactly inspection json objects or removed schema schemas see side tool two was what","1","2026-05-07T13:56:33.406Z"
"json-flatten-unflatten","JSON Flatten / Unflatten","/tools/json-flatten-unflatten","inspection","Data Inspection","Flatten nested JSON into key paths or reconstruct nested JSON from flattened keys.","data flatten flattened from inspection into json key keys nested or paths reconstruct unflatten","JSON Flatten / Unflatten Data Inspection Flatten nested JSON into key paths or reconstruct nested JSON from flattened keys. data flatten flattened from inspection into json key keys nested or paths reconstruct unflatten","1","2026-05-07T13:56:33.406Z"
"base64-converter","Base64 Encoder / Decoder","/tools/base64-converter","utilities","Utilities & Encoding","Convert text to Base64 and back instantly with UTF-8 support.","and back base64 convert converter decoder encoder encoding instantly support text to utf utilities with","Base64 Encoder / Decoder Utilities & Encoding Convert text to Base64 and back instantly with UTF-8 support. and back base64 convert converter decoder encoder encoding instantly support text to utf utilities with","1","2026-05-07T13:56:33.406Z"
"secure-zip","Secure Zip Creator","/tools/secure-zip","utilities","Utilities & Encoding","Compress files into password-protected ZIP archives.","archives compress creator encoding files into password protected secure utilities zip","Secure Zip Creator Utilities & Encoding Compress files into password-protected ZIP archives. archives compress creator encoding files into password protected secure utilities zip","1","2026-05-07T13:56:33.407Z"
"text-refiner","Text Refiner","/tools/text-refiner","utilities","Utilities & Encoding","Refine and rephrase text by tone (professional, casual, commanding), fix spelling/grammar, add emojis or bullet points.","add and bullet by casual commanding emojis encoding fix grammar or points professional refine refiner rephrase spelling text tone utilities","Text Refiner Utilities & Encoding Refine and rephrase text by tone (professional, casual, commanding), fix spelling/grammar, add emojis or bullet points. add and bullet by casual commanding emojis encoding fix grammar or points professional refine refiner rephrase spelling text tone utilities","1","2026-05-07T13:56:33.407Z"
"checksum-calculator","File Checksum","/tools/checksum-calculator","utilities","Utilities & Encoding","Generate MD5/SHA256 hashes and count lines for text files.","and calculator checksum count encoding file files for generate hashes lines md5 sha256 text utilities","File Checksum Utilities & Encoding Generate MD5/SHA256 hashes and count lines for text files. and calculator checksum count encoding file files for generate hashes lines md5 sha256 text utilities","1","2026-05-07T13:56:33.407Z"
"credit-card-validator","Credit Card / Luhn Validator","/tools/credit-card-validator","utilities","Utilities & Encoding","Validate credit card numbers using the Luhn checksum algorithm.","algorithm card checksum credit encoding luhn numbers the using utilities validate validator","Credit Card / Luhn Validator Utilities & Encoding Validate credit card numbers using the Luhn checksum algorithm. algorithm card checksum credit encoding luhn numbers the using utilities validate validator","1","2026-05-07T13:56:33.407Z"
"upc-validator","UPC / EAN Validator","/tools/upc-validator","utilities","Utilities & Encoding","Verify retail barcodes (UPC-A, EAN-13, etc.) check digits instantly.","13 barcodes check digits ean encoding etc instantly retail upc utilities validator verify","UPC / EAN Validator Utilities & Encoding Verify retail barcodes (UPC-A, EAN-13, etc.) check digits instantly. 13 barcodes check digits ean encoding etc instantly retail upc utilities validator verify","1","2026-05-07T13:56:33.407Z"
"aadhaar-validator","Aadhaar Validator","/tools/aadhaar-validator","utilities","Utilities & Encoding","Validate Indian Aadhaar numbers using the Verhoeff algorithm.","aadhaar algorithm encoding indian numbers the using utilities validate validator verhoeff","Aadhaar Validator Utilities & Encoding Validate Indian Aadhaar numbers using the Verhoeff algorithm. aadhaar algorithm encoding indian numbers the using utilities validate validator verhoeff","1","2026-05-07T13:56:33.407Z"
"jwt-debugger","JWT Debugger","/tools/jwt-debugger","utilities","Utilities & Encoding","Decode and inspect JSON Web Tokens (JWT) headers and payloads securely.","and debugger decode encoding headers inspect json jwt payloads securely tokens utilities web","JWT Debugger Utilities & Encoding Decode and inspect JSON Web Tokens (JWT) headers and payloads securely. and debugger decode encoding headers inspect json jwt payloads securely tokens utilities web","1","2026-05-07T13:56:33.407Z"
